Percentage in Communication skills,Hours working per day,Logical Quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system?,self-learning capability?,Extra-courses did,talenttests taken?,olympiads,reading and writing skills,memory capability score,Job/Higher Studies?,Taken inputs from seniors or elders,interested in games,Gentle or Tuff behaviour?,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role,certifications_code,workshops_code,Interested subjects_code,interested career area _code,Type of company want to settle in?_code,Interested Type of Books_code
0.77,10,6,3,7,8,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,Database Manager,8,5,8,4,2,13
0.68,8,3,0,4,3,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,Technical Support,5,4,7,1,1,4
0.75,5,9,6,1,7,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,Database Administrator,2,6,2,5,8,28
0.92,9,5,0,7,9,1,1,1,1,0,2,0,0,1,0,1,1,1,0,1,Network Engineer,1,4,6,2,7,14
0.93,6,3,4,3,8,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,Mobile Applications Developer,5,5,5,3,9,8
0.75,4,7,0,4,4,0,0,0,1,1,0,2,0,1,1,1,0,0,1,1,Technical Services/Help Desk/Tech Support,1,6,0,2,8,17
0.86,7,2,2,8,7,0,0,1,1,1,0,2,0,0,1,1,0,0,0,0,Technical Support,2,0,8,0,2,8
0.89,7,6,5,6,5,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,Information Technology Manager,5,3,2,3,0,8
0.7,10,1,3,6,5,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,E-Commerce Analyst,7,7,2,2,1,2
0.64,10,2,5,1,8,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,Software Developer,6,1,4,3,6,21
0.61,9,8,2,1,8,0,0,0,0,1,2,0,0,1,0,1,0,1,0,1,Solutions Architect,4,0,0,1,0,13
0.7,8,3,5,4,3,0,1,1,0,0,1,2,1,0,0,0,0,0,1,0,Software Systems Engineer,6,2,5,4,8,5
0.76,12,7,0,4,6,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,Network Engineer,3,6,5,3,1,2
0.83,8,3,2,7,4,1,0,0,1,0,2,1,0,1,1,0,0,1,1,1,Technical Support,7,0,7,4,6,15
0.67,4,6,0,9,7,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,Information Technology Manager,3,7,1,2,6,14
0.94,5,7,0,6,3,0,0,1,1,1,0,2,0,0,0,1,1,1,0,0,Software Engineer,4,7,9,3,1,1
0.75,5,4,5,6,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,Software Developer,4,5,6,5,9,26
0.63,5,5,4,7,8,0,1,0,1,0,1,2,1,1,1,1,0,1,1,1,Programmer Analyst,6,6,1,0,1,29
0.78,9,1,4,6,9,0,0,0,0,0,2,0,1,1,0,1,0,1,1,0,CRM Business Analyst,5,5,4,5,6,13
0.94,7,9,6,4,2,1,1,0,0,0,2,0,0,0,0,1,1,0,0,1,Software Developer,5,0,0,3,6,3
0.73,6,5,6,3,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,Business Intelligence Analyst,7,7,8,4,8,4
0.8,10,2,3,4,8,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Database Administrator,7,5,5,5,8,11
0.69,8,6,3,4,5,0,1,0,1,1,0,2,0,1,0,0,0,0,1,0,Technical Engineer,1,3,1,5,6,24
0.63,10,5,2,7,3,1,0,0,1,1,2,0,1,0,1,0,1,0,0,0,Data Architect,0,6,2,2,1,14
0.83,8,5,6,1,9,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,Network Security Engineer,0,6,1,2,5,25
0.79,5,6,0,3,4,1,0,0,0,1,2,2,1,1,0,1,0,1,0,0,CRM Technical Developer,2,0,8,3,7,27
0.85,6,7,0,3,1,1,0,1,1,1,2,2,1,1,1,0,1,0,1,0,Software Developer,0,5,2,4,0,24
0.65,12,9,0,6,3,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,Systems Security Administrator,5,5,5,3,7,21
0.66,11,7,0,8,4,1,1,1,1,0,2,2,0,0,1,0,1,1,0,0,Network Engineer,1,6,0,1,5,11
0.61,11,6,0,1,1,1,0,0,0,0,1,2,1,0,0,0,0,1,1,1,Technical Services/Help Desk/Tech Support,8,4,2,5,2,10
0.68,7,8,3,9,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,Systems Security Administrator,5,2,0,5,8,14
0.78,9,4,5,5,2,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,Web Developer,3,7,1,3,0,0
0.84,8,9,0,1,6,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,Portal Administrator,2,4,3,5,6,12
0.75,5,6,5,6,8,1,1,0,0,1,0,2,0,1,1,1,0,1,1,0,Software Developer,2,3,0,4,4,1
0.74,11,3,3,7,8,0,0,1,1,1,1,2,1,0,0,1,0,0,0,1,Network Security Engineer,1,1,8,0,0,4
0.72,5,2,3,4,4,1,0,1,0,0,2,2,0,0,1,0,1,1,0,1,Solutions Architect,5,0,7,4,0,16
0.83,5,7,6,7,8,0,1,0,1,0,0,2,0,0,1,0,0,1,1,1,Network Security Administrator,8,0,6,2,9,20
0.6,12,9,1,7,6,0,1,1,1,1,2,2,0,0,0,0,0,0,1,1,Portal Administrator,0,4,5,1,6,23
0.86,7,5,5,6,3,0,1,1,0,0,2,0,0,1,1,1,1,0,0,0,UX Designer,8,0,1,3,5,1
0.73,4,1,2,8,2,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,Project Manager,0,5,2,1,0,27
0.64,10,1,3,7,2,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,Project Manager,3,1,8,1,4,16
0.81,5,2,0,2,3,1,0,1,1,1,2,0,0,1,1,0,1,0,1,1,Network Engineer,1,3,2,1,2,15
0.82,7,2,6,2,5,0,0,1,0,1,2,2,0,1,1,1,0,1,0,0,Quality Assurance Associate,5,3,4,0,3,12
0.93,6,7,6,4,3,0,0,1,0,0,2,1,1,1,0,0,1,0,0,1,Applications Developer,8,6,2,4,1,3
0.67,8,2,1,8,8,0,1,1,0,0,2,2,0,0,0,0,0,0,1,0,Technical Engineer,8,3,6,4,9,13
0.68,6,2,3,2,8,0,0,0,0,0,2,1,0,0,0,1,0,0,1,1,Network Security Administrator,1,6,7,3,0,21
0.66,5,8,5,7,6,1,0,1,1,0,1,2,1,1,1,1,0,1,1,0,CRM Technical Developer,2,7,2,1,7,26
0.71,10,7,1,3,7,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,E-Commerce Analyst,6,1,2,2,6,16
0.86,6,3,4,1,3,1,0,1,1,1,2,2,0,1,0,0,0,1,0,1,Software Quality Assurance (QA) / Testing,4,4,8,2,7,13
0.76,12,2,3,7,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,Network Security Administrator,5,4,6,1,1,2
0.69,12,8,4,1,8,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,Network Engineer,7,0,7,5,2,27
0.77,7,9,5,8,8,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,Technical Engineer,4,2,9,0,4,10
0.65,7,7,5,1,7,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,Systems Security Administrator,5,5,8,4,8,28
0.82,6,2,2,5,6,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,Design & UX,6,1,0,5,0,5
0.94,4,8,5,8,6,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,Database Administrator,0,7,0,5,5,19
0.71,4,8,6,1,9,0,1,1,0,1,0,2,1,1,1,0,0,0,1,0,Programmer Analyst,3,1,8,1,1,7
0.65,4,6,3,4,3,0,0,1,1,0,2,0,0,1,1,1,1,0,1,0,Software Quality Assurance (QA) / Testing,6,0,9,5,4,21
0.83,7,6,5,4,7,0,1,1,0,0,2,2,0,0,0,1,0,1,0,0,CRM Business Analyst,5,1,7,4,2,26
0.69,12,6,2,1,9,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,Database Manager,8,3,2,5,8,11
0.71,6,6,0,3,4,0,1,1,1,1,2,1,0,0,1,0,0,1,0,1,Software Developer,6,2,6,2,9,20
0.9,6,4,1,7,3,1,1,1,1,1,0,2,1,0,1,0,0,1,1,0,Solutions Architect,6,1,2,5,3,9
0.67,12,8,5,7,6,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,Information Security Analyst,8,1,3,3,3,16
0.67,10,7,3,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,Network Security Engineer,5,7,3,1,1,27
0.81,11,1,5,2,8,0,1,1,1,0,2,2,1,1,1,0,1,0,0,0,Network Engineer,4,0,9,1,6,9
0.62,4,6,0,6,3,1,0,0,0,0,1,2,0,1,0,1,1,0,0,0,Technical Support,8,2,3,3,2,30
0.69,11,3,3,2,2,0,1,1,1,1,1,2,0,1,1,0,0,1,0,1,Systems Analyst,4,3,0,3,5,11
0.78,11,7,6,3,5,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,Information Technology Auditor,7,1,1,3,6,27
0.62,12,7,0,4,3,1,0,0,0,0,1,2,1,0,0,0,0,0,0,1,CRM Technical Developer,3,5,8,2,6,8
0.81,5,3,1,7,6,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,Technical Services/Help Desk/Tech Support,6,0,3,2,5,16
0.69,5,9,3,1,9,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,Software Quality Assurance (QA) / Testing,6,4,4,2,4,4
0.62,7,7,0,3,9,1,0,1,0,0,2,2,0,1,0,1,0,0,0,0,Business Systems Analyst,8,5,4,0,4,2
0.91,6,2,2,6,6,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,Technical Engineer,7,1,6,5,0,12
0.66,11,7,4,3,5,0,1,1,0,1,1,2,0,0,0,0,1,0,1,1,Technical Support,3,7,0,4,4,20
0.84,12,3,5,5,9,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,Information Technology Auditor,3,2,0,1,2,23
0.82,5,9,2,6,6,1,1,0,0,1,2,1,0,0,1,0,1,0,1,1,Network Security Administrator,4,7,8,4,8,30
0.8,7,1,6,6,8,0,1,1,0,0,0,2,0,1,1,0,0,1,1,0,Information Technology Manager,3,4,7,4,6,11
0.7,7,4,0,3,1,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,Web Developer,8,6,4,4,1,13
0.73,7,7,2,8,6,1,1,1,1,1,0,2,1,0,1,0,1,0,0,0,Business Systems Analyst,7,7,7,1,4,27
0.62,9,6,0,2,1,0,0,0,1,0,2,0,0,1,0,1,1,1,1,0,Systems Analyst,1,3,2,0,5,19
0.76,7,5,2,5,4,1,0,0,0,0,1,2,0,1,0,0,1,1,0,1,Web Developer,4,2,6,4,3,16
0.81,7,7,0,8,8,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,Solutions Architect,5,2,3,4,2,27
0.65,9,3,6,1,2,0,0,1,0,0,1,2,0,0,0,1,1,1,0,1,UX Designer,4,1,4,0,3,13
0.64,8,7,6,3,6,0,1,1,0,1,2,1,0,0,0,1,1,1,1,0,Network Engineer,2,4,9,2,8,4
0.84,6,2,3,9,1,1,0,1,1,1,2,0,0,1,1,1,1,1,0,0,Applications Developer,4,6,5,0,9,29
0.63,7,8,5,1,4,0,1,1,1,0,2,2,1,0,0,0,1,1,0,0,Project Manager,0,0,2,3,2,29
0.94,12,3,1,8,1,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,UX Designer,5,5,6,1,8,10
0.67,4,1,4,7,6,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,Database Administrator,8,1,5,5,3,13
0.87,12,1,1,1,4,0,1,1,1,0,2,2,0,0,0,1,0,1,0,1,Information Technology Auditor,8,7,9,3,1,4
0.64,10,2,0,1,4,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,Database Developer,3,6,7,3,9,12
0.8,10,2,4,7,7,1,1,0,0,1,0,2,0,1,1,0,1,1,1,1,Database Manager,3,2,6,4,0,23
0.88,12,7,1,9,3,0,1,0,0,0,1,2,1,0,1,1,1,0,0,1,Software Systems Engineer,4,5,1,5,5,7
0.91,9,5,1,9,4,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,UX Designer,0,4,0,2,4,27
0.93,6,3,0,1,8,0,1,0,1,0,2,2,0,0,0,1,0,1,0,0,Solutions Architect,8,2,8,2,8,19
0.83,12,1,5,9,4,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,Project Manager,0,3,9,1,5,16
0.89,10,2,1,6,1,1,0,1,1,0,0,2,1,0,1,0,0,1,0,1,Network Engineer,5,7,8,0,4,14
0.62,10,8,1,6,9,1,1,0,1,1,2,2,1,1,1,0,1,0,0,0,E-Commerce Analyst,4,4,4,3,2,14
0.92,5,6,4,8,4,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,Business Systems Analyst,4,2,7,5,5,1
0.66,5,8,1,7,9,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,E-Commerce Analyst,2,5,9,4,5,5
0.89,6,9,2,1,6,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,Systems Security Administrator,8,5,1,0,2,24
0.68,6,2,0,4,3,0,0,0,0,1,1,2,0,0,1,1,1,1,1,1,Mobile Applications Developer,0,5,9,5,4,25
0.75,11,9,1,6,7,1,0,1,1,0,2,0,1,1,1,0,0,1,0,1,Business Systems Analyst,5,0,7,3,4,13
0.88,4,4,0,8,6,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,Quality Assurance Associate,6,4,5,4,1,16
0.63,11,2,1,7,5,1,1,0,1,0,2,0,1,0,1,0,0,0,1,0,Technical Engineer,5,0,3,4,2,29
0.64,6,9,1,2,5,1,1,0,0,1,0,2,0,1,0,0,0,0,1,0,Data Architect,0,4,8,2,8,16
0.6,5,3,0,5,1,1,0,0,1,1,2,0,0,0,0,1,1,0,1,1,Software Quality Assurance (QA) / Testing,3,5,5,0,5,9
0.76,4,2,5,8,3,0,0,0,1,1,2,2,1,0,1,1,0,1,0,1,CRM Technical Developer,7,1,5,1,5,12
0.67,7,3,5,4,9,1,1,0,1,0,2,0,0,0,1,0,0,0,0,1,Database Developer,3,5,7,5,3,30
0.9,12,7,5,3,2,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,Information Security Analyst,3,3,4,1,1,25
0.65,4,2,5,5,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,Software Systems Engineer,4,1,3,0,7,5
0.73,7,8,6,2,8,1,1,0,1,1,2,2,0,1,1,1,1,0,1,0,Design & UX,1,4,9,3,0,1
0.84,11,6,0,6,1,1,0,1,0,1,1,2,0,1,0,1,1,1,0,0,Database Developer,2,1,5,0,2,25
0.73,7,1,0,4,5,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,Systems Analyst,2,2,9,2,9,6
0.89,6,4,6,9,4,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,Business Intelligence Analyst,6,7,6,2,9,22
0.82,6,9,3,1,6,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,Software Engineer,8,6,8,3,2,4
0.67,4,5,2,8,9,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,Network Security Administrator,3,0,8,5,6,19
0.74,10,8,3,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,UX Designer,3,5,0,2,3,4
0.89,8,4,4,1,8,0,0,1,0,0,0,2,1,1,0,1,0,1,1,1,Information Security Analyst,3,3,4,0,8,11
0.94,11,8,4,6,4,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Software Systems Engineer,1,6,4,0,4,16
0.93,8,3,6,6,5,0,1,1,0,1,2,0,0,0,1,1,0,0,1,0,Network Engineer,2,3,1,3,9,15
0.65,12,9,6,3,2,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,Network Security Administrator,3,5,9,0,2,29
0.76,12,7,4,3,7,0,1,0,1,0,2,1,0,1,0,0,0,1,0,0,Programmer Analyst,4,7,9,2,7,4
0.64,9,3,1,2,9,1,0,0,1,1,2,1,0,0,1,0,1,0,0,0,Information Technology Manager,2,5,4,5,7,24
0.85,7,7,3,9,7,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,Web Developer,0,7,5,0,8,13
0.89,11,8,1,4,2,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,Web Developer,4,1,4,0,2,13
0.6,12,1,6,2,5,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,Portal Administrator,2,5,0,0,7,12
0.64,7,3,0,2,9,1,0,1,1,0,2,1,0,1,1,0,0,0,0,0,Solutions Architect,8,1,9,3,8,19
0.9,12,4,1,9,8,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,Portal Administrator,0,3,9,4,7,0
0.83,7,7,4,6,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,Information Technology Manager,0,1,1,2,2,15
0.84,8,8,4,6,6,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,Database Administrator,4,1,3,4,9,5
0.77,5,3,4,5,2,0,0,0,1,0,0,2,0,0,1,1,1,1,1,1,Software Developer,5,2,1,4,7,29
0.83,11,1,1,8,3,0,1,0,1,1,0,2,1,1,0,0,1,0,1,0,Portal Administrator,0,4,9,0,5,14
0.93,9,2,6,3,5,0,0,1,1,1,2,0,0,1,1,0,0,1,1,1,Applications Developer,7,2,7,5,7,13
0.69,7,1,0,4,7,0,0,1,0,1,2,0,0,1,1,1,1,0,0,0,Design & UX,2,4,5,3,4,14
0.65,8,2,6,6,3,1,0,1,1,0,2,1,1,1,0,0,0,1,0,0,Network Security Engineer,7,5,8,3,1,25
0.81,5,7,0,4,3,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,Solutions Architect,4,5,9,5,5,29
0.6,5,8,1,8,3,1,0,1,1,0,0,2,0,1,0,0,0,1,0,0,Systems Analyst,0,0,4,4,7,19
0.94,4,9,5,8,4,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,UX Designer,2,4,8,3,3,27
0.83,4,5,5,6,4,0,0,1,0,1,2,1,0,1,0,1,1,0,0,1,CRM Technical Developer,5,5,4,0,4,24
0.91,9,8,3,9,8,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,Technical Support,6,4,4,5,2,15
0.91,11,1,0,7,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,Information Technology Manager,8,0,9,4,7,3
0.86,8,2,1,7,5,1,0,0,1,0,2,1,1,0,1,1,1,1,1,1,Systems Security Administrator,1,4,9,2,0,28
0.73,12,4,2,2,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,Data Architect,0,2,2,2,8,28
0.61,12,7,0,4,3,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,Business Intelligence Analyst,3,4,6,5,7,10
0.73,8,9,6,8,5,0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,UX Designer,6,7,8,2,8,4
0.93,11,4,0,3,5,0,1,1,0,0,2,1,0,0,1,0,1,0,0,1,Portal Administrator,5,5,0,3,3,16
0.69,12,8,5,4,3,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,Database Administrator,1,6,6,5,0,5
0.75,7,4,2,2,9,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,Network Security Engineer,8,7,5,5,6,23
0.77,7,2,0,3,4,0,1,0,1,0,2,1,1,0,1,1,1,0,1,0,Applications Developer,1,3,3,4,0,14
0.67,6,8,5,5,2,0,0,1,1,0,1,2,1,0,0,1,1,0,1,0,Software Quality Assurance (QA) / Testing,2,3,6,5,3,11
0.87,11,9,0,9,9,0,1,0,0,0,0,2,1,1,0,0,0,1,0,1,Database Manager,1,2,6,1,3,12
0.7,9,7,1,7,6,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,Portal Administrator,2,2,1,0,1,12
0.81,10,8,4,1,4,1,1,1,1,1,2,0,0,1,1,1,1,1,1,1,Software Developer,4,3,9,2,0,27
0.91,4,6,6,6,2,0,1,0,1,0,2,0,0,1,1,0,1,0,0,1,CRM Business Analyst,0,3,8,5,7,21
0.88,8,9,6,5,9,0,0,1,0,0,2,2,1,0,0,1,0,0,0,1,Database Developer,1,7,3,0,2,13
